template_name,category,cash_flow_category,template_type,description,is_favorite,is_system,active,version,usage_count,last_used_at
Penjualan Aset Tetap (Laba),INCOME,INVESTING,SIMPLE,"Penjualan aset dengan laba. Variables: hargaJual, nilaiPerolehan, akumPenyusutan",false,false,true,1,0,
Penjualan Aset Tetap (Rugi),EXPENSE,INVESTING,SIMPLE,"Penjualan aset dengan rugi. Variables: hargaJual, nilaiPerolehan, akumPenyusutan",false,false,true,1,0,
Bayar Bonus Karyawan,PAYMENT,OPERATING,SIMPLE,Pembayaran bonus dari hutang bonus yang sudah diakrual,false,false,true,1,0,
Accrual Bonus Karyawan,EXPENSE,OPERATING,SIMPLE,"Akrual bonus karyawan (diakui sebagai beban, belum dibayar)",false,false,true,1,0,
Beli Deposito,EXPENSE,INVESTING,SIMPLE,Penempatan deposito berjangka di bank,false,false,true,1,0,
Cairkan Deposito,INCOME,INVESTING,SIMPLE,"Pencairan deposito dengan bunga. Variables: pokok, bunga",false,false,true,1,0,
Beli Logam Mulia,EXPENSE,INVESTING,SIMPLE,"Pembelian emas batangan (Antam, UBS, dll)",false,false,true,1,0,
Jual Logam Mulia (Laba),INCOME,INVESTING,SIMPLE,"Penjualan emas dengan laba. Variables: hasilPenjualan, nilaiPerolehan",false,false,true,1,0,
Jual Logam Mulia (Rugi),EXPENSE,INVESTING,SIMPLE,"Penjualan emas dengan rugi. Variables: hasilPenjualan, nilaiPerolehan",false,false,true,1,0,
Beli Dinar/Dirham,EXPENSE,INVESTING,SIMPLE,Pembelian koin emas dinar atau perak dirham,false,false,true,1,0,
Jual Dinar/Dirham (Laba),INCOME,INVESTING,SIMPLE,"Penjualan dinar/dirham dengan laba. Variables: hasilPenjualan, nilaiPerolehan",false,false,true,1,0,
Jual Dinar/Dirham (Rugi),EXPENSE,INVESTING,SIMPLE,"Penjualan dinar/dirham dengan rugi. Variables: hasilPenjualan, nilaiPerolehan",false,false,true,1,0,
Pembelian Aset Tetap,EXPENSE,INVESTING,SIMPLE,Template untuk mencatat pembelian aset tetap. Variabel: assetCost,false,true,true,1,0,
Penyusutan Aset Tetap,EXPENSE,OPERATING,SIMPLE,Template untuk mencatat penyusutan aset tetap bulanan. Variabel: depreciationAmount,false,true,true,1,0,
Pelepasan Aset Tetap,INCOME,INVESTING,DETAILED,"Template untuk mencatat pelepasan/penjualan aset tetap. Variabel: bookValue, accumulatedDepreciation, assetCost, disposalProceeds, gainLoss",false,true,true,1,0,
Isi BBM Kendaraan (Karyawan Bayar),EXPENSE,OPERATING,SIMPLE,"Karyawan isi BBM kendaraan kantor, perusahaan akan ganti",false,false,true,1,0,
Bayar Reimburse BBM ke Karyawan,PAYMENT,OPERATING,SIMPLE,Pembayaran reimburse BBM ke karyawan,false,false,true,1,0,
Bayar BBM Langsung,EXPENSE,OPERATING,SIMPLE,Pembayaran BBM langsung dari kas/bank perusahaan,false,false,true,1,0,
Saldo Awal Tahun,ADJUSTMENT,OPERATING,DETAILED,"Input saldo awal neraca untuk memulai tahun buku baru. Debit: Aset (1.x). Credit: Liabilitas (2.x) dan Ekuitas (3.x). Laba tahun lalu masuk ke Laba Ditahan.",false,false,true,1,0,
