template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at,semantic_description,keywords,example_merchants,typical_amount_min,typical_amount_max,merchant_patterns
Withdraw Saldo Bukalapak,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari Bukalapak ke rekening bank,false,true,1,0,,Gunakan template ini untuk mencatat penarikan saldo dari Bukalapak ke rekening bank perusahaan.,withdraw|tarik saldo|pencairan|bukalapak|settlement,Bukalapak,10000,500000000,.*bukalapak.*
Withdraw Saldo TikTok Shop,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari TikTok Shop ke rekening bank,false,true,1,0,,Gunakan template ini untuk mencatat penarikan saldo dari TikTok Shop ke rekening bank perusahaan.,withdraw|tarik saldo|pencairan|tiktok|settlement,TikTok Shop,10000,500000000,.*tiktok.*
Retur Penjualan Marketplace,EXPENSE,OPERATING,SIMPLE,Retur penjualan dari marketplace. Amount = nilai retur,false,true,1,0,,Gunakan template ini untuk mencatat retur penjualan dari marketplace. Mengurangi pendapatan dan mengeluarkan dana pengembalian ke pembeli.,retur|return|refund|pengembalian|marketplace|claim|komplain,Tokopedia|Shopee|Lazada|Bukalapak|TikTok Shop,10000,50000000,
Bayar Iklan Marketplace,EXPENSE,OPERATING,SIMPLE,Pembayaran iklan di marketplace (TopAds Shopee Ads dll),false,true,1,0,,Gunakan template ini untuk mencatat pembayaran biaya iklan di marketplace seperti TopAds (Tokopedia) atau Shopee Ads atau TikTok Ads.,iklan|ads|advertising|topads|shopee ads|tiktok ads|promosi|marketing|boost,Tokopedia TopAds|Shopee Ads|Lazada Sponsored|TikTok Ads|Bukalapak Promoted,10000,50000000,.*topads.*|.*shopee ads.*|.*tiktok ads.*
Pembelian Barang Dagangan,EXPENSE,OPERATING,SIMPLE,Pembelian barang dagangan untuk dijual,false,true,1,0,,Gunakan template ini untuk mencatat pembelian barang dagangan (persediaan) dari supplier untuk dijual kembali. Menambah saldo persediaan.,pembelian|purchase|beli|barang dagangan|persediaan|inventory|stock|stok|supplier|restock,Supplier|Distributor|Pabrik|Importir|Toko Grosir,50000,500000000,
Pembelian Barang + PPN,EXPENSE,OPERATING,SIMPLE,Pembelian barang dengan PPN Masukan 11%. Amount = DPP + PPN,false,true,1,0,,Gunakan template ini untuk mencatat pembelian barang dagangan yang dikenai PPN. Amount = DPP + PPN. Sistem otomatis memisahkan DPP dan PPN Masukan 11%.,pembelian|purchase|ppn masukan|vat input|beli|faktur pajak masukan|supplier,Supplier PKP|Distributor|Importir,100000,500000000,
Bayar Supplier,PAYMENT,OPERATING,SIMPLE,Pembayaran hutang ke supplier,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran hutang ke supplier barang dagangan. Mengurangi saldo hutang usaha.,bayar|payment|supplier|hutang|payable|pelunasan|transfer supplier,Supplier|Distributor|Pabrik|Importir,50000,500000000,
Ongkir Ditanggung Penjual,EXPENSE,OPERATING,SIMPLE,Ongkos kirim yang ditanggung penjual (free ongkir),false,true,1,0,,Gunakan template ini untuk mencatat ongkos kirim yang ditanggung penjual (program free ongkir atau subsidi ongkir seller).,ongkir|shipping|kirim|free ongkir|subsidi ongkir|ekspedisi|kurir|jne|j&t|sicepat|anteraja,JNE|J&T Express|SiCepat|AnterAja|Pos Indonesia|TIKI|Ninja Express|Grab Express|GoSend,5000,5000000,.*jne.*|.*j&t.*|.*sicepat.*|.*anteraja.*|.*ninja.*
Biaya Packing,EXPENSE,OPERATING,SIMPLE,Biaya kardus bubble wrap lakban dll,false,true,1,0,,Gunakan template ini untuk mencatat biaya packing/pengemasan produk. Termasuk kardus/bubble wrap/lakban/plastik/label.,packing|pengemasan|kardus|bubble wrap|lakban|plastik|packaging|label|stiker,Toko Packing|Tokopedia|Shopee|Indomaret|Alfamart,5000,5000000,
Bayar Beban Gaji,EXPENSE,OPERATING,SIMPLE,Pembayaran gaji karyawan gudang/admin,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran gaji karyawan gudang atau admin toko online.,gaji|salary|upah|karyawan|gudang|admin|staff,Transfer Gaji|BCA|Mandiri|BNI|BRI,1000000,30000000,
Accrual Gaji Bulan Berjalan,EXPENSE,OPERATING,SIMPLE,Akrual gaji akhir bulan,false,true,1,0,,Gunakan template ini untuk mencatat akrual gaji di akhir bulan ketika gaji belum dibayarkan.,akrual|accrual|gaji|salary|akhir bulan|month end,,1000000,30000000,
Bayar Sewa Gudang,EXPENSE,OPERATING,SIMPLE,Pembayaran sewa gudang/tempat penyimpanan,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran sewa gudang atau tempat penyimpanan barang dagangan.,sewa|rent|gudang|warehouse|storage|penyimpanan,Pemilik Gudang|Manajemen Properti,500000,30000000,
Bayar Beban Listrik,EXPENSE,OPERATING,SIMPLE,Pembayaran listrik gudang/kantor,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran tagihan listrik gudang atau kantor.,listrik|electricity|pln|token|utility|utilitas,PLN|PLN Mobile|Tokopedia PLN,50000,5000000,.*pln.*|.*listrik.*
Bayar Beban Operasional,EXPENSE,OPERATING,SIMPLE,Pembayaran beban operasional umum,false,true,1,0,,Gunakan template ini untuk mencatat beban operasional umum yang tidak termasuk kategori lainnya.,operasional|operational|atk|supplies|transport|konsumsi,Tokopedia|Shopee|Grab|Gojek|Indomaret|Alfamart,10000,5000000,
Penyesuaian Persediaan Masuk,EXPENSE,OPERATING,SIMPLE,Stock opname lebih - persediaan bertambah,false,true,1,0,,Gunakan template ini ketika hasil stock opname menunjukkan persediaan fisik lebih banyak dari catatan. Menambah nilai persediaan.,stock opname|penyesuaian|adjustment|persediaan lebih|selisih stok,,10000,50000000,
Penyesuaian Persediaan Keluar,EXPENSE,OPERATING,SIMPLE,Stock opname kurang - persediaan berkurang (rusak/hilang),false,true,1,0,,Gunakan template ini ketika hasil stock opname menunjukkan persediaan fisik kurang dari catatan (rusak/hilang/expired). Mengurangi nilai persediaan.,stock opname|penyesuaian|adjustment|persediaan kurang|rusak|hilang|expired|selisih stok,,10000,50000000,
Pembelian Persediaan,EXPENSE,OPERATING,SIMPLE,"Template untuk mencatat pembelian persediaan/barang. Variabel: amount (total pembelian)",true,true,1,0,,Template sistem untuk mencatat pembelian persediaan barang dagangan. Digunakan oleh fitur inventory management.,pembelian|purchase|persediaan|inventory|stock|barang,,50000,500000000,
Penjualan Persediaan,INCOME,OPERATING,DETAILED,"Template untuk mencatat penjualan persediaan dengan HPP. Variabel: cogsAmount revenueAmount",true,true,1,0,,Template sistem untuk mencatat penjualan persediaan dengan otomatis menghitung HPP (Harga Pokok Penjualan). Digunakan oleh fitur inventory management.,penjualan|sales|persediaan|inventory|hpp|cogs,,10000,500000000,
Transfer Antar Bank,TRANSFER,OPERATING,SIMPLE,Transfer dana antar rekening bank,false,true,1,0,,Gunakan template ini untuk mencatat transfer dana antar rekening bank perusahaan sendiri.,transfer|pindah buku|antar bank|antar rekening|overbooking,,100000,10000000000,
Setoran Modal,RECEIPT,FINANCING,SIMPLE,Setoran modal dari pemilik,false,true,1,0,,Gunakan template ini untuk mencatat setoran modal dari pemilik ke perusahaan.,modal|capital|setoran|investasi pemilik|equity,,1000000,10000000000,
Prive / Pengambilan Pribadi,PAYMENT,FINANCING,SIMPLE,Pengambilan dana oleh pemilik,false,true,1,0,,Gunakan template ini untuk mencatat penarikan dana perusahaan oleh pemilik untuk keperluan pribadi.,prive|drawing|pengambilan pribadi|tarik dana pemilik,,100000,1000000000,
Beban Admin Bank,EXPENSE,OPERATING,SIMPLE,Potongan biaya administrasi bank,false,true,1,0,,Gunakan template ini untuk mencatat biaya administrasi bank bulanan.,admin bank|biaya bank|bank charge|bank fee|administrasi,BCA|Mandiri|BNI|BRI,5000,500000,.*bank.*
Setor PPh 21,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 21 karyawan,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran PPh 21 karyawan ke kas negara.,pph 21|pajak karyawan|payroll tax|setor pajak,DJP|Kas Negara|Bank Persepsi,10000,10000000,
Setor PPN,PAYMENT,OPERATING,SIMPLE,Penyetoran PPN (Keluaran - Masukan),false,true,1,0,,Gunakan template ini untuk mencatat penyetoran PPN kurang bayar ke kas negara.,ppn|vat|pajak pertambahan nilai|setor ppn,DJP|Kas Negara|Bank Persepsi,50000,200000000,
Bayar PPh Final UMKM,EXPENSE,OPERATING,SIMPLE,Pembayaran PPh Final 0.5% UMKM (PP 55/2022),false,true,1,0,,Gunakan template ini untuk mencatat pembayaran PPh Final 0.5% untuk UMKM sesuai PP 55/2022. Dihitung dari omzet bruto bulanan.,pph final|umkm|pajak umkm|pp 55|0.5%|pajak final,DJP|Kas Negara|Bank Persepsi,10000,50000000,
Bayar Hutang Gaji,PAYMENT,OPERATING,SIMPLE,Pembayaran hutang gaji ke karyawan,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran gaji ke karyawan setelah payroll diposting.,bayar gaji|transfer gaji|hutang gaji|salary payment,Transfer Gaji|BCA|Mandiri,1000000,30000000,
Bayar Hutang BPJS,PAYMENT,OPERATING,SIMPLE,Penyetoran BPJS,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran iuran BPJS.,bpjs|iuran bpjs|setor bpjs,BPJS Kesehatan|BPJS Ketenagakerjaan,50000,10000000,.*bpjs.*
Cashback dari Marketplace,INCOME,OPERATING,SIMPLE,Cashback atau insentif dari marketplace,false,true,1,0,,Gunakan template ini untuk mencatat cashback atau insentif yang diterima dari marketplace (bonus penjual/seller reward).,cashback|insentif|reward|bonus penjual|marketplace reward|seller reward,Tokopedia|Shopee|Lazada|Bukalapak|TikTok Shop,1000,10000000,
Jurnal Manual,TRANSFER,OPERATING,SIMPLE,Template untuk jurnal manual,false,true,1,0,,Template untuk membuat jurnal manual dimana user memilih sendiri akun debit dan kredit. Gunakan untuk koreksi atau transaksi khusus.,jurnal manual|manual journal|koreksi|adjustment|penyesuaian,,0,100000000000,
