template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at,semantic_description,keywords,example_merchants,typical_amount_min,typical_amount_max,merchant_patterns
Gaji Dosen Tetap,EXPENSE,OPERATING,SIMPLE,Pembayaran gaji bulanan dosen tetap,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran gaji bulanan dosen tetap kampus.,gaji dosen|dosen tetap|salary|lecturer|faculty|tenaga pengajar,Transfer Gaji|BCA|Mandiri|BNI|BRI,3000000,50000000,
Honorarium Dosen Tidak Tetap,EXPENSE,OPERATING,SIMPLE,Pembayaran honorarium dosen tidak tetap per SKS,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran honorarium dosen tidak tetap (dosen luar biasa) per SKS yang diampu.,honorarium|dosen tidak tetap|dosen luar biasa|part-time lecturer|per sks|adjunct,Transfer Honor|BCA|Mandiri|BNI|BRI,500000,20000000,
Gaji Karyawan,EXPENSE,OPERATING,SIMPLE,Pembayaran gaji bulanan karyawan administrasi dan pendukung,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran gaji bulanan karyawan non-dosen (administrasi/TU/perpustakaan/IT/security/cleaning).,gaji karyawan|staff|administrasi|tata usaha|karyawan kampus|salary,Transfer Gaji|BCA|Mandiri|BNI|BRI,2000000,30000000,
Bayar BPJS Dosen,EXPENSE,OPERATING,DETAILED,Pembayaran BPJS Kesehatan dan Ketenagakerjaan untuk dosen,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran iuran BPJS Kesehatan dan Ketenagakerjaan untuk dosen tetap. Template DETAILED dengan variabel bpjsKesehatan dan bpjsTenagakerja.,bpjs dosen|bpjs kesehatan|bpjs ketenagakerjaan|asuransi dosen,BPJS Kesehatan|BPJS Ketenagakerjaan,100000,20000000,.*bpjs.*
Bayar BPJS Karyawan,EXPENSE,OPERATING,DETAILED,Pembayaran BPJS Kesehatan dan Ketenagakerjaan untuk karyawan,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran iuran BPJS Kesehatan dan Ketenagakerjaan untuk karyawan non-dosen.,bpjs karyawan|bpjs kesehatan|bpjs ketenagakerjaan|asuransi karyawan,BPJS Kesehatan|BPJS Ketenagakerjaan,100000,15000000,.*bpjs.*
Setor PPh 21,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 21 karyawan dan dosen ke kas negara,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran PPh 21 (pajak penghasilan karyawan dan dosen) ke kas negara.,pph 21|pajak karyawan|pajak dosen|payroll tax|setor pajak,DJP|Kas Negara|Bank Persepsi|e-Billing,50000,50000000,
Terima Hibah,RECEIPT,OPERATING,SIMPLE,Mencatat penerimaan hibah dari pemerintah atau pihak ketiga,false,true,1,0,,Gunakan template ini untuk mencatat penerimaan hibah/grant dari pemerintah (Kemendikbud/Kemenag) atau pihak ketiga.,hibah|grant|bantuan pemerintah|kemendikbud|kemenag|dikti|dana hibah,Kemendikbud|Kemenag|Ditjen Dikti|Pemerintah Daerah|Yayasan,1000000,10000000000,
Terima Donasi,RECEIPT,OPERATING,SIMPLE,Mencatat penerimaan donasi dari alumni atau donatur,false,true,1,0,,Gunakan template ini untuk mencatat penerimaan donasi dari alumni atau donatur untuk pengembangan kampus.,donasi|donation|sumbangan|alumni|donatur|wakaf|infak|sedekah,Alumni|Donatur|Perusahaan Sponsor,100000,10000000000,
Bayar Listrik Kampus,EXPENSE,OPERATING,SIMPLE,Pembayaran tagihan listrik kampus,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran tagihan listrik seluruh area kampus.,listrik|electricity|pln|token|utility|utilitas,PLN|PLN Mobile,500000,50000000,.*pln.*|.*listrik.*
Bayar Air Kampus,EXPENSE,OPERATING,SIMPLE,Pembayaran tagihan air kampus,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran tagihan air (PDAM) kampus.,air|water|pdam|utility,PDAM|PAM,100000,10000000,.*pdam.*|.*pam.*
Bayar Internet & Telepon,EXPENSE,OPERATING,SIMPLE,Pembayaran internet dan telepon kampus,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran internet dedicated dan telepon kampus.,internet|telepon|telekomunikasi|wifi|broadband|bandwidth,Telkom|IndiHome|Biznet|Lintasarta|Client-E,500000,20000000,.*telkom.*|.*biznet.*|.*lintasarta.*
Bayar ATK,EXPENSE,OPERATING,SIMPLE,Pembelian alat tulis kantor,false,true,1,0,,Gunakan template ini untuk mencatat pembelian alat tulis kantor (ATK) untuk kebutuhan administrasi kampus.,atk|alat tulis|stationery|kertas|tinta|printer|office supplies,Gramedia|Toko ATK|Tokopedia|Shopee,10000,5000000,
Bayar Bahan Praktikum,EXPENSE,OPERATING,SIMPLE,Pembelian bahan untuk praktikum laboratorium,false,true,1,0,,Gunakan template ini untuk mencatat pembelian bahan habis pakai untuk praktikum laboratorium (kimia/fisika/biologi/komputer).,bahan praktikum|lab supply|reagent|kimia|komponen|bahan habis pakai,Supplier Lab|Toko Kimia|Distributor Reagent,50000,20000000,
Pemeliharaan Lab,EXPENSE,OPERATING,SIMPLE,Biaya pemeliharaan peralatan laboratorium,false,true,1,0,,Gunakan template ini untuk mencatat biaya pemeliharaan dan perbaikan peralatan laboratorium kampus.,pemeliharaan lab|maintenance|perbaikan|service lab|kalibrasi|alat lab,Vendor Service|Teknisi|Distributor Alat Lab,100000,50000000,
Pemeliharaan Gedung,EXPENSE,OPERATING,SIMPLE,Biaya pemeliharaan gedung kampus,false,true,1,0,,Gunakan template ini untuk mencatat biaya pemeliharaan dan perbaikan gedung kampus (pengecatan/renovasi/perbaikan atap/instalasi).,pemeliharaan gedung|building maintenance|renovasi|perbaikan|pengecatan|atap|instalasi,Kontraktor|Tukang|Toko Bangunan|CV Pemeliharaan,100000,500000000,
Pemeliharaan Kendaraan,EXPENSE,OPERATING,SIMPLE,Biaya service dan pemeliharaan kendaraan kampus,false,true,1,0,,Gunakan template ini untuk mencatat biaya service dan pemeliharaan kendaraan operasional kampus (mobil/bus/motor).,kendaraan|vehicle|service|bengkel|bbm|oli|spare part|ban,Bengkel|SPBU|Pertamina|Shell|Toko Spare Part,50000,20000000,.*bengkel.*|.*spbu.*|.*pertamina.*|.*shell.*
Beban Keamanan,EXPENSE,OPERATING,SIMPLE,Pembayaran jasa keamanan kampus,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran jasa keamanan (satpam) kampus. Bisa langsung atau via vendor outsource.,keamanan|security|satpam|jaga malam|outsource security,PT Security|Jasa Keamanan|Outsource,1000000,30000000,
Beban Kebersihan,EXPENSE,OPERATING,SIMPLE,Pembayaran jasa kebersihan kampus,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran jasa kebersihan (cleaning service) kampus. Bisa langsung atau via vendor outsource.,kebersihan|cleaning|cleaning service|housekeeping|pembersih,PT Cleaning|Jasa Kebersihan|Outsource,500000,20000000,
Transfer Antar Bank,TRANSFER,OPERATING,SIMPLE,Transfer dana antar rekening bank,false,true,1,0,,Gunakan template ini untuk mencatat transfer dana antar rekening bank kampus.,transfer|pindah buku|antar bank|antar rekening|overbooking,,100000,10000000000,
Setoran Modal Yayasan,RECEIPT,FINANCING,SIMPLE,Setoran modal dari yayasan,false,true,1,0,,Gunakan template ini untuk mencatat setoran modal atau dana operasional dari yayasan pengelola kampus.,modal yayasan|setoran yayasan|dana yayasan|equity|foundation,Yayasan|Bank Transfer,1000000,50000000000,
Beban Admin Bank,EXPENSE,OPERATING,SIMPLE,Potongan biaya administrasi bank,false,true,1,0,,Gunakan template ini untuk mencatat biaya administrasi bank bulanan.,admin bank|biaya bank|bank charge|bank fee|administrasi,BCA|Mandiri|BNI|BRI,5000,500000,.*bank.*
